market,nationcode,timezone,marketcode,auctbeg1,auctend1,auctbeg2,auctend2,auctbeg3,auctend3,auctbeg4,auctend4
1,1,8,SZ,930,1130,1300,1500,0,0,0,0
2,1,8,SH,930,1130,1300,1500,0,0,0,0
3,1,8,CFE,915,1130,1300,1515,0,0,0,0
4,1,8,CZC,900,1015,1030,1130,1330,1500,0,0
5,1,8,DCE,900,1015,1030,1130,1330,1500,0,0
6,1,8,SHF,900,1015,1030,1130,1330,1500,0,0
7,1,8,HK,930,1200,1300,1600,0,0,0,0
8,1,8,JZ,930,1130,1300,1500,0,0,0,0
9,1,8,CSI,930,1130,1300,1500,0,0,0,0
10,1,8,SGE,900,1130,1330,1530,0,0,0,0
11,1,8,IB,830,1700,0,0,0,0,0,0
12,1,8,HKH,930,1200,1300,1600,0,0,0,0
13,1,8,HKS,930,1200,1300,1600,0,0,0,0
